Month,Brave,VPN,Tor,Startpage,DuckDuckGo
2004-01-01,2,77,3,5,0
2004-02-01,1,86,3,6,0
2004-03-01,1,79,3,5,0
2004-04-01,2,75,3,5,0
2004-05-01,2,77,4,7,0
2004-06-01,2,80,3,10,0
2004-07-01,1,79,4,11,0
2004-08-01,1,83,5,6,0
2004-09-01,1,81,3,5,0
2004-10-01,3,76,4,5,1
2004-11-01,2,67,3,5,0
2004-12-01,2,71,4,6,0
2005-01-01,2,73,4,8,0
2005-02-01,2,75,5,9,0
2005-03-01,2,73,6,9,0
2005-04-01,2,63,5,5,0
2005-05-01,2,76,6,5,0
2005-06-01,2,72,9,5,0
2005-07-01,1,63,8,6,1
2005-08-01,2,67,7,3,0
2005-09-01,1,69,7,2,0
2005-10-01,2,61,6,3,0
2005-11-01,1,63,6,3,0
2005-12-01,1,61,6,4,0
2006-01-01,1,62,9,3,0
2006-02-01,1,58,9,3,0
2006-03-01,2,64,8,2,0
2006-04-01,2,56,7,2,0
2006-05-01,2,54,8,2,0
2006-06-01,2,56,8,2,0
2006-07-01,3,52,8,2,0
2006-08-01,2,57,9,2,0
2006-09-01,2,52,10,2,0
2006-10-01,2,53,9,2,0
2006-11-01,1,50,7,2,0
2006-12-01,2,49,8,2,0
2007-01-01,2,53,8,2,0
2007-02-01,1,57,11,1,0
2007-03-01,2,58,9,2,0
2007-04-01,2,48,7,1,0
2007-05-01,2,49,8,2,0
2007-06-01,2,50,7,2,0
2007-07-01,1,49,8,2,0
2007-08-01,2,55,9,1,0
2007-09-01,2,53,11,2,0
2007-10-01,2,48,8,2,0
2007-11-01,2,48,8,1,0
2007-12-01,2,47,8,2,0
2008-01-01,2,46,8,1,0
2008-02-01,2,49,8,1,0
2008-03-01,2,45,8,1,0
2008-04-01,2,47,7,1,0
2008-05-01,2,42,8,2,0
2008-06-01,1,43,9,1,0
2008-07-01,1,47,9,2,0
2008-08-01,2,47,8,1,0
2008-09-01,1,44,7,2,0
2008-10-01,1,41,7,1,0
2008-11-01,1,40,7,1,0
2008-12-01,2,42,7,1,0
2009-01-01,1,48,8,2,0
2009-02-01,1,41,8,2,0
2009-03-01,2,41,8,2,0
2009-04-01,1,39,9,3,0
2009-05-01,1,38,8,3,1
2009-06-01,2,39,9,3,0
2009-07-01,1,40,8,3,0
2009-08-01,2,41,8,4,0
2009-09-01,1,40,8,3,0
2009-10-01,1,41,8,3,0
2009-11-01,1,39,8,3,0
2009-12-01,1,38,8,3,0
2010-01-01,1,40,8,4,0
2010-02-01,2,45,7,4,0
2010-03-01,1,39,8,3,0
2010-04-01,1,36,8,3,0
2010-05-01,1,36,8,3,1
2010-06-01,2,39,9,3,0
2010-07-01,1,34,8,3,0
2010-08-01,1,37,8,3,0
2010-09-01,2,36,8,3,1
2010-10-01,2,36,9,3,1
2010-11-01,1,35,9,2,1
2010-12-01,1,34,9,3,1
2011-01-01,1,39,10,2,1
2011-02-01,2,41,11,3,1
2011-03-01,2,42,10,3,1
2011-04-01,2,38,11,3,2
2011-05-01,2,38,11,3,1
2011-06-01,3,40,15,3,1
2011-07-01,2,41,12,3,1
2011-08-01,2,42,12,4,2
2011-09-01,2,41,12,3,1
2011-10-01,2,37,13,3,2
2011-11-01,3,37,14,3,2
2011-12-01,2,35,20,3,2
2012-01-01,3,39,21,3,3
2012-02-01,4,37,16,5,4
2012-03-01,4,38,14,4,6
2012-04-01,5,37,15,4,4
2012-05-01,9,35,13,4,5
2012-06-01,52,34,12,4,4
2012-07-01,30,36,13,4,3
2012-08-01,11,38,12,4,3
2012-09-01,9,38,12,4,4
2012-10-01,9,41,12,4,4
2012-11-01,20,40,13,4,6
2012-12-01,11,36,13,5,6
2013-01-01,8,41,13,5,4
2013-02-01,7,41,12,5,4
2013-03-01,6,41,13,6,4
2013-04-01,5,40,14,5,6
2013-05-01,7,37,13,5,4
2013-06-01,6,38,15,8,14
2013-07-01,6,37,14,6,14
2013-08-01,6,39,16,7,10
2013-09-01,5,38,13,6,8
2013-10-01,6,38,16,6,8
2013-11-01,6,37,15,6,8
2013-12-01,6,38,13,5,9
2014-01-01,8,40,14,6,10
2014-02-01,7,45,15,6,11
2014-03-01,8,44,14,5,11
2014-04-01,8,41,13,5,10
2014-05-01,7,40,13,6,13
2014-06-01,7,43,14,5,12
2014-07-01,7,46,14,6,13
2014-08-01,7,43,13,6,11
2014-09-01,9,47,17,5,13
2014-10-01,7,44,13,5,12
2014-11-01,7,44,14,5,12
2014-12-01,6,43,15,4,12
2015-01-01,6,51,14,4,11
2015-02-01,6,49,14,4,11
2015-03-01,6,48,13,4,12
2015-04-01,6,47,14,4,13
2015-05-01,6,50,15,4,12
2015-06-01,5,45,15,4,13
2015-07-01,5,45,15,4,12
2015-08-01,6,52,21,4,13
2015-09-01,5,52,16,4,13
2015-10-01,5,49,14,4,14
2015-11-01,6,51,15,4,13
2015-12-01,5,49,15,4,13
2016-01-01,5,42,11,3,10
2016-02-01,5,43,11,3,9
2016-03-01,5,45,10,3,10
2016-04-01,5,43,11,3,9
2016-05-01,5,46,12,3,11
2016-06-01,5,40,11,3,10
2016-07-01,5,45,11,3,9
2016-08-01,5,47,11,3,10
2016-09-01,5,47,10,2,11
2016-10-01,5,48,10,3,11
2016-11-01,5,46,12,3,11
2016-12-01,4,46,10,2,9
2017-01-01,4,50,11,2,10
2017-02-01,4,50,11,2,11
2017-03-01,5,57,11,3,10
2017-04-01,4,58,12,2,11
2017-05-01,5,52,10,2,11
2017-06-01,5,48,9,2,10
2017-07-01,4,50,10,2,11
2017-08-01,6,55,10,2,13
2017-09-01,5,55,9,2,13
2017-10-01,8,54,8,2,14
2017-11-01,5,49,9,2,13
2017-12-01,5,49,10,2,13
2018-01-01,6,49,9,2,15
2018-02-01,5,50,9,2,18
2018-03-01,6,49,9,2,19
2018-04-01,5,48,9,3,20
2018-05-01,5,48,9,2,17
2018-06-01,4,45,9,2,15
2018-07-01,5,46,9,2,13
2018-08-01,5,52,8,2,17
2018-09-01,5,49,10,2,25
2018-10-01,5,47,9,2,25
2018-11-01,5,45,8,2,23
2018-12-01,5,47,10,2,24
2019-01-01,5,48,9,2,23
2019-02-01,6,50,9,2,22
2019-03-01,7,51,9,2,25
2019-04-01,6,48,9,2,25
2019-05-01,6,49,9,2,25
2019-06-01,7,48,9,2,28
2019-07-01,6,49,9,2,30
2019-08-01,6,55,9,2,30
2019-09-01,6,57,9,2,31
2019-10-01,6,58,9,2,31
2019-11-01,7,53,9,2,31
2019-12-01,7,52,9,2,31
2020-01-01,7,56,9,2,32
2020-02-01,7,56,9,2,30
2020-03-01,7,77,8,2,29
2020-04-01,7,67,9,2,31
2020-05-01,7,57,9,2,33
2020-06-01,7,53,9,2,44
2020-07-01,7,60,9,2,44
2020-08-01,7,60,9,2,44
2020-09-01,6,60,8,2,40
2020-10-01,6,55,8,2,47
2020-11-01,6,53,8,2,57
2020-12-01,6,58,8,2,58
2021-01-01,9,61,9,2,100
2021-02-01,8,60,9,2,66
2021-03-01,8,54,8,2,56
2021-04-01,9,58,7,2,56
2021-05-01,8,61,8,2,54
2021-06-01,7,58,7,2,56
2021-07-01,7,57,7,1,52
2021-08-01,7,57,8,2,63
2021-09-01,8,61,8,2,64
2021-10-01,9,68,8,2,67
2021-11-01,8,62,9,2,62
2021-12-01,7,56,8,2,60
2022-01-01,10,67,9,1,66
2022-02-01,9,67,9,1,65
2022-03-01,9,69,9,2,60
2022-04-01,9,68,9,2,51
2022-05-01,8,57,8,2,52
2022-06-01,8,62,8,2,53
2022-07-01,8,63,9,2,56
2022-08-01,8,67,8,2,57
2022-09-01,8,71,8,2,52
2022-10-01,8,74,8,2,50
2022-11-01,9,64,9,2,48
